     Flute3  Id            ;Mode ; Meander_Rsh ; ClMet_Rsh ;  ; VdPEdge   ;  ;LineW_Edge ; ;  VDPBulk  ;  ; VDPBulk_Res;     ; Diode I600; Diode Cap; Diode Vdep; Diode Rho_Bulk
                           ;     ; [kOhm/sq]   ; [kOhm/sq] ;  ; [kOhm]/sq ;  ; [um]      ; ; [kOhm/sq] ;  ;  [kOhmcm] ;      ;    [nA]   ;  [pF]    ;    [V]    ;   [kOhm cm]   
                           ;     ;             ; stad  ; rot  ; stad  ; rot  ; stad ;  rot ; stad  ;  rot ; F=1.089 ; F=1.218;           ;          ;           ;   mu_h = arora  
     Spec Limit            ;     ;             ;       ;      ;       ;      ;      ;      ;       ;      ; 3.5-8.0 ; 3.5-8.0;    <2.5   ;          ; < 350     ;               
VPX37408_010_2-S_HM_E_Left;Extended;0.24482;17.0281;16.8951;1.2165;1.21748;47.2314;47.2695;71.4875;72.4521;3.44521;3.85332;0.262973;2.75755;216.42;3.90989
VPX37408_010_2-S_HM_W_Left;Extended;0.253513;17.7526;17.4038;1.17747;1.19444;46.8619;47.5375;72.3464;73.1022;3.4866;3.89962;0.346765;2.77031;223.769;3.81301
VPX37408_021_2-S_HM_E_Left;Extended;0.236439;17.0526;16.9523;1.21888;1.22749;46.1695;46.4957;77.9569;77.6482;3.75699;4.20203;0.205041;2.76636;207.376;4.10308
VPX37408_021_2-S_HM_W_Left;Extended;0.248531;17.7305;17.5053;1.18156;1.18243;47.0294;47.0638;77.4475;76.8542;3.73244;4.17458;0.243553;2.76031;215.926;3.91067
VPX37408_046_2-S_HM_E_Left;Extended;0.234814;17.1565;16.943;1.2071;1.20653;46.3461;46.3242;78.9988;78.4342;3.8072;4.2582;0.229621;2.76538;200.37;4.21722
VPX37408_046_2-S_HM_W_Left;Extended;0.242803;17.426;17.4026;1.17076;1.16777;46.6455;46.5265;78.2165;78.1787;3.7695;4.21603;0.35932;2.77357;207.378;4.06904
